Locale,Slug,IndexedInGoogle,Title_En,Title_Current
"pl","anxiety-philosophy","YES","From Inner Turmoil to Inner Peace: Converting Severe Anxiety into Stoic Philosophy","MISSING"
"uk","anxiety-philosophy","YES","From Inner Turmoil to Inner Peace: Converting Severe Anxiety into Stoic Philosophy","MISSING"
"pl","socrates-vs-confucius","YES","Socrates vs. Confucius: A Transcultural Dialogue on Wisdom","MISSING"
"uk","socrates-vs-confucius","YES","Socrates vs. Confucius: A Transcultural Dialogue on Wisdom","MISSING"
"pl","napoleon-vs-sejong","YES","Napoleon vs. King Sejong: Two Paths of Supreme Leadership","MISSING"
"uk","napoleon-vs-sejong","YES","Napoleon vs. King Sejong: Two Paths of Supreme Leadership","MISSING"
"pl","davinci-vs-newton","YES","Leonardo da Vinci vs. Isaac Newton: Two Archetypes of Genius","MISSING"
"uk","davinci-vs-newton","YES","Leonardo da Vinci vs. Isaac Newton: Two Archetypes of Genius","MISSING"
"pl","aurelius-vs-seneca","YES","Marcus Aurelius vs. Seneca: The Dual Dimensions of Stoicism","MISSING"
"uk","aurelius-vs-seneca","YES","Marcus Aurelius vs. Seneca: The Dual Dimensions of Stoicism","MISSING"
"pl","curie-vs-keller","YES","Marie Curie vs. Helen Keller: Conquering Social Prejudices and Redefining Human Potential","MISSING"
"uk","curie-vs-keller","YES","Marie Curie vs. Helen Keller: Conquering Social Prejudices and Redefining Human Potential","MISSING"
"pl","lincoln-vs-gandhi","YES","Abraham Lincoln vs. Mahatma Gandhi: Two Strategies for Liberty","MISSING"
"uk","lincoln-vs-gandhi","YES","Abraham Lincoln vs. Mahatma Gandhi: Two Strategies for Liberty","MISSING"
"pl","eastern-western-leadership","YES","The Echoes of Emperors and Sages: Eastern vs. Western Leadership Rooted in History","MISSING"
"uk","eastern-western-leadership","YES","The Echoes of Emperors and Sages: Eastern vs. Western Leadership Rooted in History","MISSING"
"pl","philosophers-death","YES","Facing the Void: How Great Thinkers Conquered Death","MISSING"
"uk","philosophers-death","YES","Facing the Void: How Great Thinkers Conquered Death","MISSING"
"pl","art-vs-science","YES","Merging Art and Science: The Synthesis of Human Genius","MISSING"
"uk","art-vs-science","YES","Merging Art and Science: The Synthesis of Human Genius","MISSING"
"pl","revolution-methods","YES","The Two Faces of Revolution: Armed Resistance vs. Non-Violent Protest","MISSING"
"uk","revolution-methods","YES","The Two Faces of Revolution: Armed Resistance vs. Non-Violent Protest","MISSING"
"pl","greatest-women-scientists","YES","Echoes of Brilliance: Pioneering Women in Science Who Shattered Glass Ceilings","MISSING"
"uk","greatest-women-scientists","YES","Echoes of Brilliance: Pioneering Women in Science Who Shattered Glass Ceilings","MISSING"
"pl","prison-wisdom","YES","Wisdom Behind Bars: Masterpieces Born in Confinement","MISSING"
"uk","prison-wisdom","YES","Wisdom Behind Bars: Masterpieces Born in Confinement","MISSING"
"pl","last-words","YES","Famous Last Words: The Final Wisdom of Historical Giants","MISSING"
"uk","last-words","YES","Famous Last Words: The Final Wisdom of Historical Giants","MISSING"
"pl","books-changed-world","YES","Books That Reconfigured the World: 4 Revolutionary Works","MISSING"
"uk","books-changed-world","YES","Books That Reconfigured the World: 4 Revolutionary Works","MISSING"
"pl","self-made-giants","YES","Self-Made Giants: Starting from Scratch to Rebuild Empires","MISSING"
"uk","self-made-giants","YES","Self-Made Giants: Starting from Scratch to Rebuild Empires","MISSING"
"pl","forgotten-geniuses","YES","Forgotten Geniuses: The Tragic Fate of Visionaries Ahead of Their Time","MISSING"
"uk","forgotten-geniuses","YES","Forgotten Geniuses: The Tragic Fate of Visionaries Ahead of Their Time","MISSING"
"pl","leaders-mental-health","YES","Depression and Triumph: The Mental Battles of Great Leaders","MISSING"
"uk","leaders-mental-health","YES","Depression and Triumph: The Mental Battles of Great Leaders","MISSING"
"pl","asian-wisdom-modern","YES","The Enduring Echo: Practical Eastern Wisdom for Navigating the Modern World","MISSING"
"uk","asian-wisdom-modern","YES","The Enduring Echo: Practical Eastern Wisdom for Navigating the Modern World","MISSING"
"pl","age-wisdom-connection","YES","The Crucible of Years: Wisdom Forged in Later Life","MISSING"
"uk","age-wisdom-connection","YES","The Crucible of Years: Wisdom Forged in Later Life","MISSING"
"pl","musashi-business","YES","The Way of Strategy: Miyamoto Musashi's 'Book of Five Rings' for the Modern Professional","MISSING"
"uk","musashi-business","YES","The Way of Strategy: Miyamoto Musashi's 'Book of Five Rings' for the Modern Professional","MISSING"
"pl","seneca-time","YES","Seneca on the Shortness of Life: A Warning to Modern Multi-Taskers","MISSING"
"uk","seneca-time","YES","Seneca on the Shortness of Life: A Warning to Modern Multi-Taskers","MISSING"
"pl","aurelius-diary","YES","Marcus Aurelius' Meditations: An Emperor's Morning Reflection Diary","MISSING"
"uk","aurelius-diary","YES","Marcus Aurelius' Meditations: An Emperor's Morning Reflection Diary","MISSING"
"pl","sun-tzu-modern","YES","The Unseen Battlefield: Applying Miyamoto Musashi's Strategy to Modern Management","MISSING"
"uk","sun-tzu-modern","YES","The Unseen Battlefield: Applying Miyamoto Musashi's Strategy to Modern Management","MISSING"
"pl","davinci-notebooks","YES","Leonardo da Vinci's Notebooks: The Meticulous Habits of a Genius","MISSING"
"uk","davinci-notebooks","YES","Leonardo da Vinci's Notebooks: The Meticulous Habits of a Genius","MISSING"
"pl","gandhi-resistance","YES","Mahatma Gandhi's Satyagraha: Lessons for Modern Conflict Resolution","MISSING"
"uk","gandhi-resistance","YES","Mahatma Gandhi's Satyagraha: Lessons for Modern Conflict Resolution","MISSING"
"pl","lincoln-depression","YES","Abraham Lincoln's Melancholy: How Pain Shaped Great Leadership","MISSING"
"uk","lincoln-depression","YES","Abraham Lincoln's Melancholy: How Pain Shaped Great Leadership","MISSING"
"pl","confucius-relationships","YES","Confucian Benevolence: Improving Modern Relationships via Ancient Wisdom","MISSING"
"uk","confucius-relationships","YES","Confucian Benevolence: Improving Modern Relationships via Ancient Wisdom","MISSING"
"pl","frida-pain","YES","Frida Kahlo's Painting of Pain: Converting Adversity into Artistic Triumph","MISSING"
"uk","frida-pain","YES","Frida Kahlo's Painting of Pain: Converting Adversity into Artistic Triumph","MISSING"
"pl","nietzsche-real","YES","Nietzsche's Übermensch: The True Spirit of Self-Overcoming","MISSING"
"uk","nietzsche-real","YES","Nietzsche's Übermensch: The True Spirit of Self-Overcoming","MISSING"
"pl","marcus-aurelius-quotes","YES","20 Marcus Aurelius Quotes: Timeless Wisdom from the Philosopher Emperor","MISSING"
"uk","marcus-aurelius-quotes","YES","20 Marcus Aurelius Quotes: Timeless Wisdom from the Philosopher Emperor","MISSING"
"pl","socrates-questions","YES","Socrates' Guide to Self-Reflection: Questions to Discover Yourself","MISSING"
"uk","socrates-questions","YES","Socrates' Guide to Self-Reflection: Questions to Discover Yourself","MISSING"
"pl","lincoln-failure-lessons","YES","Lincoln's Lessons from Failure: The Triumph of Persistence","MISSING"
"uk","lincoln-failure-lessons","YES","Lincoln's Lessons from Failure: The Triumph of Persistence","MISSING"
"pl","confucius-wisdom","YES","The Confucian Path of Lifelong Learning: Life Wisdom and Growth","MISSING"
"uk","confucius-wisdom","YES","The Confucian Path of Lifelong Learning: Life Wisdom and Growth","MISSING"
"pl","cleopatra-leadership","YES","Cleopatra's Secrets of Strategic Charisma: History's Most Fascinating Leadership","MISSING"
"uk","cleopatra-leadership","YES","Cleopatra's Secrets of Strategic Charisma: History's Most Fascinating Leadership","MISSING"
"pl","gandhi-nonviolence","YES","Gandhi's Unseen Arsenal: Satyagraha as a Spiritual Weapon","MISSING"
"uk","gandhi-nonviolence","YES","Gandhi's Unseen Arsenal: Satyagraha as a Spiritual Weapon","MISSING"
"pl","einstein-creativity","YES","Einstein on Imagination and Creativity: Power Greater Than Knowledge","MISSING"
"uk","einstein-creativity","YES","Einstein on Imagination and Creativity: Power Greater Than Knowledge","MISSING"
"pl","curie-perseverance","YES","Marie Curie's Devotion to Science: Timeless Light of Discovery","MISSING"
"uk","curie-perseverance","YES","Marie Curie's Devotion to Science: Timeless Light of Discovery","MISSING"
"pl","king-sejong-innovation","YES","King Sejong's Scientific Legacy: Leadership of Loving the People","MISSING"
"uk","king-sejong-innovation","YES","King Sejong's Scientific Legacy: Leadership of Loving the People","MISSING"
"pl","yun-dongju-poetry","YES","Yun Dong-ju's Poetry of Reflection: The Soul that Sang of Shame and Stars","MISSING"
"uk","yun-dongju-poetry","YES","Yun Dong-ju's Poetry of Reflection: The Soul that Sang of Shame and Stars","MISSING"
"pl","aristotle-virtue","YES","Aristotle's Ethics of Happiness: In Search of the Highest Good","MISSING"
"uk","aristotle-virtue","YES","Aristotle's Ethics of Happiness: In Search of the Highest Good","MISSING"
"pl","buddha-peace","YES","Buddha's Teachings on Inner Peace: The Mind That Conquers Suffering","MISSING"
"uk","buddha-peace","YES","Buddha's Teachings on Inner Peace: The Mind That Conquers Suffering","MISSING"
"pl","nietzsche-willpower","YES","Nietzsche's Guide to Self-Overcoming: The Will to Affirm Life","MISSING"
"uk","nietzsche-willpower","YES","Nietzsche's Guide to Self-Overcoming: The Will to Affirm Life","MISSING"
"pl","mozart-genius","YES","Mozart's Mind and Creative Madness: The Spirit of Music","MISSING"
"uk","mozart-genius","YES","Mozart's Mind and Creative Madness: The Spirit of Music","MISSING"
"pl","da-vinci-curiosity","YES","Leonardo da Vinci's Infinite Curiosity: The Wisdom of Observation","MISSING"
"uk","da-vinci-curiosity","YES","Leonardo da Vinci's Infinite Curiosity: The Wisdom of Observation","MISSING"
"pl","tesla-innovation","YES","Nikola Tesla's Vision of the Future: The Genius Inventor","MISSING"
"uk","tesla-innovation","YES","Nikola Tesla's Vision of the Future: The Genius Inventor","MISSING"
"pl","florence-nightingale","YES","Nightingale's Reformative Compassion: Legacy of the Lady with the Lamp","MISSING"
"uk","florence-nightingale","YES","Nightingale's Reformative Compassion: Legacy of the Lady with the Lamp","MISSING"
"pl","ada-lovelace-pioneer","YES","Ada Lovelace's Poetic Science: The First Computer Programmer","MISSING"
"uk","ada-lovelace-pioneer","YES","Ada Lovelace's Poetic Science: The First Computer Programmer","MISSING"
"pl","quotes-burnout-recovery","YES","10 Quotes for Overcoming Burnout: Wisdom to Comfort a Weary Mind","MISSING"
"uk","quotes-burnout-recovery","YES","10 Quotes for Overcoming Burnout: Wisdom to Comfort a Weary Mind","MISSING"
"pl","quotes-failure-resilience","YES","Rising Strong After Setbacks: Turning Failure into Growth","MISSING"
"uk","quotes-failure-resilience","YES","Rising Strong After Setbacks: Turning Failure into Growth","MISSING"
"pl","quotes-relationship-advice","YES","Stoic and Philosophical Guide to Relationships: Connection Without Pain","MISSING"
"uk","quotes-relationship-advice","YES","Stoic and Philosophical Guide to Relationships: Connection Without Pain","MISSING"
"pl","quotes-anxiety-calm","YES","Ancient Meditations for Severe Anxiety: Ways to Gain Peace of Mind","MISSING"
"uk","quotes-anxiety-calm","YES","Ancient Meditations for Severe Anxiety: Ways to Gain Peace of Mind","MISSING"
"pl","quotes-job-seeking","YES","Guidance for Career Search & Uncertainty: Compasses When You Are Lost","MISSING"
"uk","quotes-job-seeking","YES","Guidance for Career Search & Uncertainty: Compasses When You Are Lost","MISSING"
"pl","quotes-self-confidence","YES","Finding Genuine Self-Esteem: Philosophical Reflections on Inner Strength","MISSING"
"uk","quotes-self-confidence","YES","Finding Genuine Self-Esteem: Philosophical Reflections on Inner Strength","MISSING"
"pl","quotes-loneliness","YES","Embracing Creative Solitude: Transforming Loneliness into Energy","MISSING"
"uk","quotes-loneliness","YES","Embracing Creative Solitude: Transforming Loneliness into Energy","MISSING"
"pl","quotes-morning-motivation","YES","Daily Wisdom for Morning Inspiration: Starting the Day with Positivity","MISSING"
"uk","quotes-morning-motivation","YES","Daily Wisdom for Morning Inspiration: Starting the Day with Positivity","MISSING"
"pl","quotes-leadership-modern","YES","Applying Ancient Leadership to Modern Teams: Wisdom for High Performance","MISSING"
"uk","quotes-leadership-modern","YES","Applying Ancient Leadership to Modern Teams: Wisdom for High Performance","MISSING"
"pl","quotes-stoic-happiness","YES","Stoicism's Real Definition of Joy: The Unshakable Inner Self","MISSING"
"uk","quotes-stoic-happiness","YES","Stoicism's Real Definition of Joy: The Unshakable Inner Self","MISSING"
"pl","quotes-creative-block","YES","The Crucible of Creativity: How Great Artists Navigated and Overcame Artistic Slumps","MISSING"
"uk","quotes-creative-block","YES","The Crucible of Creativity: How Great Artists Navigated and Overcame Artistic Slumps","MISSING"
"pl","quotes-time-management","YES","Ancient Wisdom on Not Wasting Time: Seneca's Principles","MISSING"
"uk","quotes-time-management","YES","Ancient Wisdom on Not Wasting Time: Seneca's Principles","MISSING"
"pl","quotes-perfectionism","YES","Letting Go of Flawlessness: Wisdom to Embrace Imperfections","MISSING"
"uk","quotes-perfectionism","YES","Letting Go of Flawlessness: Wisdom to Embrace Imperfections","MISSING"
"pl","quotes-grief-loss","YES","Navigating Loss with Philosophical Comfort: Stoic and Buddhist Wisdom","MISSING"
"uk","quotes-grief-loss","YES","Navigating Loss with Philosophical Comfort: Stoic and Buddhist Wisdom","MISSING"
"pl","quotes-success-definition","YES","Redefining Success Beyond Wealth: Perspectives of Ancient Sages","MISSING"
"uk","quotes-success-definition","YES","Redefining Success Beyond Wealth: Perspectives of Ancient Sages","MISSING"
"pl","quotes-courage-fear","YES","Facing Modern Fears with Historical Courage: Lessons from Battle Leaders","MISSING"
"uk","quotes-courage-fear","YES","Facing Modern Fears with Historical Courage: Lessons from Battle Leaders","MISSING"
"pl","quotes-study-learning","YES","Lifelong Learning Secrets of the Masters: Reaching True Understanding","MISSING"
"uk","quotes-study-learning","YES","Lifelong Learning Secrets of the Masters: Reaching True Understanding","MISSING"
"pl","quotes-money-wealth","YES","The Dual Nature of Material Abundance: Wealth and Spiritual Harmony","MISSING"
"uk","quotes-money-wealth","YES","The Dual Nature of Material Abundance: Wealth and Spiritual Harmony","MISSING"
"pl","quotes-health-body","YES","Balance of Mind and Body in History: Health Philosophy of Giants","MISSING"
"uk","quotes-health-body","YES","Balance of Mind and Body in History: Health Philosophy of Giants","MISSING"
"pl","seneca-vs-aurelius-adversity","YES","Seneca vs. Marcus Aurelius on Adversity: Two Giants of Stoicism","MISSING"
"uk","seneca-vs-aurelius-adversity","YES","Seneca vs. Marcus Aurelius on Adversity: Two Giants of Stoicism","MISSING"
"pl","socrates-vs-confucius-wisdom","YES","Socrates vs. Confucius: A Dialogue on Virtue Across Continents","MISSING"
"uk","socrates-vs-confucius-wisdom","YES","Socrates vs. Confucius: A Dialogue on Virtue Across Continents","MISSING"
"pl","lincoln-vs-churchill-crisis","YES","Lincoln vs Churchill: Leading Under Crisis and Communicating Hope","MISSING"
"uk","lincoln-vs-churchill-crisis","YES","Lincoln vs Churchill: Leading Under Crisis and Communicating Hope","MISSING"
"pl","newton-vs-einstein-failure","YES","Newton vs Einstein: Scientific Struggles and Conquest of Failures","MISSING"
"uk","newton-vs-einstein-failure","YES","Newton vs Einstein: Scientific Struggles and Conquest of Failures","MISSING"
"pl","curie-vs-nightingale-barriers","YES","Marie Curie vs. Florence Nightingale: Breaking Barriers and Shaping Modernity","MISSING"
"uk","curie-vs-nightingale-barriers","YES","Marie Curie vs. Florence Nightingale: Breaking Barriers and Shaping Modernity","MISSING"
"pl","plato-vs-aristotle-truth","YES","Plato vs. Aristotle: Ideas vs. Reality in the Enduring Quest for Truth","MISSING"
"uk","plato-vs-aristotle-truth","YES","Plato vs. Aristotle: Ideas vs. Reality in the Enduring Quest for Truth","MISSING"
"pl","gandhi-vs-mandela-freedom","YES","Gandhi vs. Nelson Mandela: Architects of Freedom, Conquerors of Injustice","MISSING"
"uk","gandhi-vs-mandela-freedom","YES","Gandhi vs. Nelson Mandela: Architects of Freedom, Conquerors of Injustice","MISSING"
"pl","napoleon-vs-caesar-empire","YES","Napoleon vs. Julius Caesar: Ambition, Strategy, and the Limits of Power","MISSING"
"uk","napoleon-vs-caesar-empire","YES","Napoleon vs. Julius Caesar: Ambition, Strategy, and the Limits of Power","MISSING"
"pl","buddha-vs-stoics-suffering","YES","Buddhism vs. Stoicism on Suffering: Eastern and Western Paths to Healing","MISSING"
"uk","buddha-vs-stoics-suffering","YES","Buddhism vs. Stoicism on Suffering: Eastern and Western Paths to Healing","MISSING"
"pl","tesla-vs-edison-innovation","YES","Nikola Tesla vs. Thomas Edison: War of Visions and Electrifying Innovation","MISSING"
"uk","tesla-vs-edison-innovation","YES","Nikola Tesla vs. Thomas Edison: War of Visions and Electrifying Innovation","MISSING"
"pl","stoic-philosophers-guide","YES","The Ultimate Stoic Guide: Life Wisdom from Seneca, Aurelius, and Epictetus","MISSING"
"uk","stoic-philosophers-guide","YES","The Ultimate Stoic Guide: Life Wisdom from Seneca, Aurelius, and Epictetus","MISSING"
"pl","joseon-leaders-wisdom","YES","Leadership Secrets of Joseon Dynasty: Practical Philosophy of Masters","MISSING"
"uk","joseon-leaders-wisdom","YES","Leadership Secrets of Joseon Dynasty: Practical Philosophy of Masters","MISSING"
"pl","women-giants-history","YES","Women Who Reconfigured the World: Inspiring Narratives of Challenge","MISSING"
"uk","women-giants-history","YES","Women Who Reconfigured the World: Inspiring Narratives of Challenge","MISSING"
"pl","scientists-failure-success","YES","The Crucible of Error: How Scientific Persistence Forged Human Ingenuity","MISSING"
"uk","scientists-failure-success","YES","The Crucible of Error: How Scientific Persistence Forged Human Ingenuity","MISSING"
"pl","philosophers-on-happiness","YES","5 Philosophers on Living a Happy Life: Practical Sages on Joy","MISSING"
"uk","philosophers-on-happiness","YES","5 Philosophers on Living a Happy Life: Practical Sages on Joy","MISSING"
"pl","asian-giants-wisdom","YES","Practical Wisdom of Asian Giants: Harmony and Lifelong Insights","MISSING"
"uk","asian-giants-wisdom","YES","Practical Wisdom of Asian Giants: Harmony and Lifelong Insights","MISSING"
"pl","artists-creative-process","YES","Inside the Minds of History's Great Artists: Inspiration and Immersion","MISSING"
"uk","artists-creative-process","YES","Inside the Minds of History's Great Artists: Inspiration and Immersion","MISSING"
"pl","world-leaders-crisis","YES","World Leaders Who Conquered Extreme Crises: Strategy Under Threat","MISSING"
"uk","world-leaders-crisis","YES","World Leaders Who Conquered Extreme Crises: Strategy Under Threat","MISSING"
"pl","modern-lessons-ancient-wisdom","YES","Echoes from Antiquity: Ancient Philosophies for Modern Minds","MISSING"
"uk","modern-lessons-ancient-wisdom","YES","Echoes from Antiquity: Ancient Philosophies for Modern Minds","MISSING"
"pl","giants-quotes-monday-morning","YES","10 Quotes to Start Your Week: Monday Morning Inspiration from Antiquity","MISSING"
"uk","giants-quotes-monday-morning","YES","10 Quotes to Start Your Week: Monday Morning Inspiration from Antiquity","MISSING"
"ar","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"fa","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"hi","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"nl","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"th","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"tr","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"vi","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"zh","al-ghazali-wisdom","NO","The Proof of Islam, Al-Ghazali: The Great Wisdom and Spiritual Truth Gained Through Renunciation","MISSING"
"ar","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"fa","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"hi","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"nl","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"th","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"tr","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"vi","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"zh","ibn-khaldun-wisdom","NO","[Giant of History] Ibn Khaldun: Piercing the Rise and Fall of Civilizations from the 14th-Century Desert","MISSING"
"ar","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"fa","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
"hi","ibn-sina-wisdom","NO","[Giant of Wisdom] The 'Prince of Scholars' Ibn Sina: The Essence of Intellect Blooming in Chaos","MISSING"
